Legal Name,Contract Name,Services Included in Services Contract,Name of Services Contract,Vubiquity Party to Service(s) Contract,Territory(ies) Included in Contract,Applicable Countries,Territory Notes
The Walt Disney Company Limited (Israel - EST/TVOD),Disney (Israel) - 2017 EST/TVOD Content License Agreement - Services,"EST, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,
The Walt Disney Company Limited (Israel - SVOD),Disney (Israel) - 2017 Linear/SVOD Content License Agreement  - Services,"Linear, SVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and the West Bank
The Walt Disney Company Limited (Israel - SVOD),Disney (Israel) - 2017 SVOD Content License Agreement - ABC Studios - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and the West Bank
The Walt Disney Company Limited (Israel - SVOD),Disney (Israel) - 2017 SVOD Content License Agreement - DCOD - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and the West Bank
The Walt Disney Company Limited (Israel - SVOD),Disney (Israel) - 2017 SVOD Content License Agreement - On Demand - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and the West Bank
The Walt Disney Company Limited (Israel - SVOD),Disney (Israel) - 2017 SVOD Content License Agreement - TV Series - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and the West Bank
The Walt Disney Company Limited (Israel - SVOD),Disney (Israel) - Admt#1 to 2017 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and the West Bank
The Walt Disney Company Limited (Israel - SVOD),Disney (Israel) - Amdt#1 2017 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and the West Bank
Dogwoof Ltd (ISRAEL/AFRICA - SVOD),Dogwoof - 2017 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Asia, Caribbean, Europe, LATAM, MENA",,"United Kingdom of Great Britain and Northern Ireland, Isle of Man and Channel Islands, and British Overseas Territories (Anguilla, Montserrat, Bermuda, Pitcairn Island, British Antarctic Territory, St Helena, British Indian Ocean Territory, St Helena dependencies (Ascension Island, Tristan da Cunha), British Virgin islands, Cayman Islands, South Georgia and the South Islands, Falkland Islands, Turks and Caicos Islands, Gibraltar, Channel Islands, Isle of Man). Republic of Ireland. Greece, Cyprus, Malta, Former Yugoslavia, Bulgaria, Middle East, Africa, Israel, Latin America, including Caribbean (where license rights are available)."
Dogwoof Ltd (Mulit-Territory - TVOD/EST),Dogwoof - 2018 TVOD/EST Content License Agreement - Services,"EST, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Asia, Caribbean, Europe, LATAM, MENA",,"UK & Eire
• United Kingdom of Great Britain Jnd Northern Island including the
Channel Islands and Isle of Man;
• Republic o f Ireland; and
• British Oversea Territories: Anguilla, Montserrat, Bermuda, Pitcairn
Island, British Antarctic Territory, St. Helena, Bri tish Indian Ocean
Territory, St. Helena dependencies (Ascension Island, Tristan de Cunha).
British Virgin Islands, Cayman Islands,. South Georgia and the South
Islands, Falkland Islands, Turks and Caicos Islands, Gibraltar, Channel
Islands, Isle of Man.

Latin America
• Argentina
• Brazil
• Chile
• Columbia
• Costa Rica
• El Salvador
• Guatemala
• Honduras
• Mexico
• Panama
• Paraguay
• Uruguay
• the Caribbean (which shall be de~med to include Anguilla, Antigua and
Barbuda, Aruba, Bahamas, Barbados, Belize, Bermuda, Bonaire, British
Virgin Islands, The Cayman Islands, Cura~ao, Dominica, Dominican
Republic, Grenada, Guadeloupe, Haiti, Jamaica, Martinique,
Montserrat, Saba, Saint Eustatius, Saint Kitts and Nevis, Saint Lucia,
Saint Maarten, Saint Vincent and the Grenadines, Trinidad and
Tobago, and Turks and Caicos)

Africa
• Botswana
• Burkina Faso
• Cameroon
• Chad
• Congo
• Democrat ic Republic o f Congo
• Gabon
• Ghana
• Ivory Coast
• Kenya
• Lesotho
• Liberia
• Madagascar
• Malawi
• Mozambique
• Namibia
• Niger
• Nigeria
• Rwanda
• Seychelles
• Sierra Leone
• South Africa
• Swaziland
• Tanzania
• Uganda
• Zambia
• Zimbabwe

SEE and Israel
• Albania
• Bosnia and Herzegovina
• Bulgaria
• Croatia
• Cyprus
• Greece
• Kosovo
• Macedonia
• Malta
• Montenegro
• Serbia
• Slovenia
• Israel including Jerusalem, Gaza and the West Bank;
Middle East and North Africa
• Bahrain
• Egypt
• Iran
• Iraq
• Jordan
• Kuwait
• Lebanon
• Libya
• Oman
• Qatar
• Saudi Arabia
• Syria
• United Arab Emirates
• Palestine
• Algeria
• Morocco
• South Sudan
• Tunisia
• Yemen
"
Dori Media Internation GmbH,Dori Media - 2017 SVOD/Linear Content License agreement - Services,"Linear, SVOD",z_VOD Content License Agreement,Vubiquity Management Limited,SEE,,Israel including Gaza and the West Bank
Drive Media Rights Limited,Drive Media Rights - 2018 Content License Agreement - Multi Titles,"Linear, SVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,
Drive Media Rights Limited,Drive Media Rights - 2018 Content License Agreement - Queen of the World,"Linear, SVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and the West Bank
Duke Marketing Limited,Duke Marketing - 2012 VOD Content Licensing Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,"Asia, Europe, LATAM, MENA, SEE",,
Duke Marketing Limited,Duke Marketing - Ltr Amdt #1 to 2012 VOD Content Licensing Agrmt - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,"Asia, Europe, LATAM, MENA, SEE",,
Ascot Elite Entertainment Group,Elite (ODD) - 2015 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,OD Deutchland,GAS,,
Emirates Integrated Telecommunications Company (PJSC),Emirates Integrated Telecom - VOD Services Agreement - Amend 6 - Services,"SVOD, TVOD",z_VOD Services Agreement,ODM,,,
Emirates Integrated Telecommunications Company (PJSC),Emirates Integrated Telecom - VOD Services Agreement - Amend 7 - Services,TVOD,z_VOD Services Agreement,ODM,,,
Emirates Integrated Telecommunications Company (PJSC),Emirates Integrated Telecomm - 2009 VOD Services Agreement - Services,"Content Processing, SVOD, TVOD",z_VOD Services Agreement,ODM,,,
Emirates Integrated Telecommunications Company (PJSC),Emirates Integrated Telecomm - VOD Services Agreement - Amend 1 - Services,"SVOD, TVOD",z_VOD Services Agreement,ODM,,,
Emirates Integrated Telecommunications Company (PJSC),Emirates Integrated Telecomm - VOD Services Agreement - Amend 2 - Services,"SVOD, TVOD",z_VOD Services Agreement,ODM,,,
Emirates Integrated Telecommunications Company (PJSC),Emirates Integrated Telecomm - VOD Services Agreement - Amend 3 - Services,TVOD,z_VOD Services Agreement,ODM,,,
Emirates Integrated Telecommunications Company (PJSC),Emirates Integrated Telecomm - VOD Services Agreement - Amend 4 - Services,TVOD,z_VOD Services Agreement,ODM,,,
Emirates Integrated Telecommunications Company (PJSC),Emirates Integrated Telecomm - VOD Services Agreement - Amend 5 - Services,"SVOD, TVOD",z_VOD Services Agreement,ODM,,,
Entertainment In Video (UK - EST),Entertainment In Video - 2017 EST Content License Agreement - Services,EST,z_VOD Content License Agreement,Vubiquity Management Limited,Europe,,"United Kingdom Great Britain and Northern Ireland, Channel Islands and Isle of Man and Republic of Ireland"
Entertainment In Video (UK - EST),Entertainment In Video - Amdt#1 to 2017 EST Content License Agreement - Services,EST,z_VOD Content License Agreement,Vubiquity Management Limited,Europe,"EUR:Channel Islands, EUR:Ireland, EUR:Isle of Man, EUR:United Kingdom","United Kingdom Great Britain and Northern Ireland, Channel Islands and Isle of Man and Republic of Ireland"
Entertainment In Video (UK - EST),Entertainment In Video - Amdt#3 to 2017 EST Content License Agreement - Services,EST,z_VOD Content License Agreement,Vubiquity Management Limited,Europe,"EUR:Channel Islands, EUR:Ireland, EUR:Isle of Man, EUR:United Kingdom","United Kingdom Great Britain and Northern Ireland, Channel Islands and Isle of Man and Republic of Ireland"
Entertainment One UK Limited(EST-UK),Entertainment One - 2017 EST Content License Agreement - Services,EST,z_VOD Content License Agreement,Vubiquity Management Limited,Europe,"EUR:Channel Islands, EUR:Ireland, EUR:Isle of Man, EUR:United Kingdom","a) United Kingdom of Great Britain (England, Scotland and Wales) and Northern Ireland, Channel Islands and Isle of Man; and b) Republic of Ireland as set out below in paragraph 6."
Entertainment One UK Limited(EST-UK),Entertainment One - Amdt#1 to 2017 EST Content License Agreement - Services,EST,z_VOD Content License Agreement,Vubiquity Management Limited,Europe,"EUR:Channel Islands, EUR:Ireland, EUR:Isle of Man, EUR:United Kingdom","a) United Kingdom of Great Britain (England, Scotland and Wales) and Northern Ireland, Channel Islands and Isle of Man; and b) Republic of Ireland as set out below in paragraph 6."
Entertainment One Television Productions LTD,Entertainment One (Africa) - 2017 Linear/SVOD Content License Agreement,"Linear, SVOD",Transport Rights Agreement,Vubiquity Management Limited,Africa,,"''Territory"" shall mean the following countries or territories:
Algeria, Angola, Benin, Botswana, Burkina Faso, Burundi, Cameroon, Cape
Verde, Central African Republic, Chad, Comoros, Republic of the Congo,
Democratic Republic of the Congo, Cote d'lvoire, Djibouti, Egypt, Equatorial
Guinea, Eritrea, Ethiopia, Gabon, The Gambia, Ghana, Guinea, Guinea-Bissau,
Kenya, Lesotho, Liberia, Libya, Madagascar, Malawi, Mali, Mauritania,
Mauritius, Morocco, Mozambique, Namibia, Niger, Nigeria, Rwanda, Sao
Tome and Principe, Senegal, Seychelles, Sierra leone, Somalia, South Africa,
South Sudan, Sudan, Swaziland, Tanzania, Togo, Tunisia, Uganda, Western
Sahara, Zambia, Zimbabwe."
Entertainment One Television Productions LTD,Entertainment One (Africa) - 2017 SVOD Content License Agreement - Peppa Pig,SVOD,Transport Rights Agreement,Vubiquity Management Limited,Africa,"AFRICA:Burkina Faso, AFRICA:Chad, AFRICA:Democratic Republic of the Congo, AFRICA:Gabon, AFRICA:Ghana, AFRICA:Kenya, AFRICA:Lesotho, AFRICA:Madagascar, AFRICA:Malawi, AFRICA:Mauritius, AFRICA:Mozambique, AFRICA:Niger, AFRICA:Nigeria, AFRICA:Rwanda, AFRICA:Seychelles, AFRICA:Sierre Leone, AFRICA:South Africa, AFRICA:Uganda, AFRICA:Tanzania, AFRICA:Zambia, AFRICA:Zimbabwe","
1) for the Platform Suburban: Nigeria (the ""Suburban Territory"");
2) for the Platform DEOD/Discover Digital: South Africa, Nigeria,
Zambia, Zimbabwe, Kenya, Uganda, Tanzania, Democratic Republic
of Congo (the ""DEOD/Discover Digital Territory"");
3) for the Platform Airtel: Burkina Faso, Chad, Democratic Republic of
Congo, Republic of the Congo, Gabon, Ghana, Kenya, Malawi,
Madagascar, Niger, Nigeria, Rwanda, Seychelles, Sierra Leone,
Tanzania, Uganda and Zambia (the ""Airtel Territ01y"");
4) for the Platform Vodacom: South Africa, Mozambique, Tanzania,
Democratic Republic of Congo, Lesotho (the ""Vodacom Territory"")
5) for the Platform Safaricom: Kenya (the ""Safaricom Territory"");
6) for the Platform Mauritius Telecom: Mauritius (the ""Mauritius
Telecom Territory"");
7) for the Platform Orange Madagascar: Madagascar (d1e ""Orange
Madagascar Territory"");
8) for the Platform Cable & Wireless: Seychelles (the ""Cable & Wireless
Territory"");
9) for the Platform Cell C: South Africa (the ""Cell C Territory"");"
EPluse Films S.A. DE C.V,Epluse - 2016 TVOD/PPV/EST Content License Agreement - Services,"EST, PPV, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Canada, Caribbean, Europe, LATAM, MENA, Mexico, SEE, United States",,
ESPN Sports Media Limited (Africa),ESPN (Africa) - 2018 Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,"AFRICA:Democratic Republic of the Congo, AFRICA:Lesotho, AFRICA:Mozambique, AFRICA:South Africa, AFRICA:Tanzania",
Everything Everywhere Limited,Everything Everywhere (FilmFlex) - 2012 VOD Services Agreement - Services,"Content Processing, TVOD",z_VOD Services Agreement,FilmFlex,Europe,,
EWE TEL GmbH,EWE Tel - VOD Services Agreement - Services,TVOD,z_VOD Services Agreement,OD Deutchland,GAS,GAS:Germany,
Falcom Media Group GmbH,Falcom - 2012 TVOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,OD Deutchland,Europe,,"Germany, Austria, Switzerland (if rights are available according to annex)"
Falcon Media S.A.,Falcon Media - 2012 VOD Licensing Areement - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,"Africa, Asia",,
Feelgood Entertainment A.E.,Feegood Entertainment - 2011 SVOD/TVOD/FOD Content Licensing Agrmt - Services,"FOD, SVOD, TVOD",z_VOD Content License Agreement,ODM,Worldwide,,"Worldwide, excluding Greece and Cyprus
"
Forum Film Ltd,Forum -  Amdt#1 to the 2017 SVOD/Linear Content License Agreement - Services,"Linear, SVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,"Israel including Jerusalem, Gaza and the West Bank"
Forum Film Ltd,Forum -  Amdt#2 to the 2017 SVOD/Linear Content License Agreement - Services,"Linear, SVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,"Israel including Jerusalem, Gaza and the West Bank"
Forum Film Ltd,Forum - 2017 SVOD/Linear Content License Agreement - Services,"Linear, SVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,"Israel including Jerusalem, Gaza and the West Bank"
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC. (Middle East)",Fox - 2011 License Agreement - Middle East - Services,TVOD,z_VOD Content License Agreement,ODM,"Africa, Asia",,
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC. (SEE)",Fox - 2011 License Agreement - SEE - Services,TVOD,z_VOD Content License Agreement,ODM,"Europe, SEE",,
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC. (Mexico)",Fox - 2011 VOD Content License Agreement - Mexico - Services,TVOD,z_VOD Content License Agreement,ODM,Mexico,MEXICO:Mexico,
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC.(Latin Am)",Fox - 2012 SVOD Content License Agreement - LatinAm - Services,SVOD,z_VOD Content License Agreement,ODM,"LATAM, Mexico",,
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC. (Mexico)",Fox - Amdt #4 to 2011 VOD Content License Agreement - Mexico - Services - SHELL,TVOD,z_VOD Content License Agreement,ODM,"Caribbean, LATAM, Mexico",,"The ""Territory"" shall be, in such cases that the Licensed Service is operated by
Licensee on behalf of: (a) a Mexican Affiliate, the Mexican United States; (b) an
Argentinian Affiliate, Argentina; (c) a Panamanian Affiliate, Panama; (d) a Costa Rican
Affiliate, Costa Rica, (e) a Guatemalan Affiliate, Guatemala, (f) a Honduran Affiliate,
Honduras, (g) a Paraguayan Affiliate, Paraguay, (h) an El Salvadorian Affiliate, El
Salvador; (i) a Caribbean Affiliate, the Caribbean; U) a Trinidadian and Tobagonian
Affiliate, Trinidad and Tobago; (k) a Dominican Affiliate, the Dominican Republic; and (I)
a Chilean Affiliate, Chile.
As used herein, the ""Caribbean"" shall mean and refer to Anguilla, Antigua and
Barbuda, Aruba, Barbados, Bonaire, British Virgin Islands, Curayao, Dominica,
Dominican Republic, Grenada, Guadeloupe, Haiti, Jamaica, Martinique, Montserrat,
Saba, Saint Eustatius, Saint Kitts and Nevis, Saint Lucia, Saint Maarten, Saint Vincent
and the Grenadines, Trinidad and Tobago, and Turks and Caicos."
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC. (Mexico)",Fox - Amendment #1 to 2011 VOD Content License Agreement - Mexico - Services,TVOD,z_VOD Content License Agreement,ODM,Mexico,,
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC.(Latin Am)",Fox - Amendment #1 to 2012 SVOD Content License Agreement - LatinAm - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"LATAM, Mexico",,
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC. (Mexico)",Fox - Amendment #2 to 2011 VOD Content License Agreement - Mexico - Services,TVOD,z_VOD Content License Agreement,ODM,Mexico,,"Mexico, Argentina and Panama"
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC.(Latin Am)",Fox - Amendment #2 to 2012 SVOD Content License Agreement - LatinAm - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"LATAM, Mexico",,
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC. (Mexico)",Fox - Amendment #3 to 2011 VOD Content License Agreement - Mexico - Services,TVOD,z_VOD Content License Agreement,ODM,"Caribbean, LATAM, Mexico",,"The ""Territory"" shall be, in such cases that the Licensed Service is operated by
Licensee on behalf of: (a) a Mexican Affiliate, the Mexican United States; (b) an
Argentinian Affiliate, Argentina; (c) a Panamanian Affiliate, Panama; (d) a Costa Rican
Affiliate, Costa Rica, (e) a Guatemalan Affiliate, Guatemala, (f) a Honduran Affiliate,
Honduras, (g) a Paraguayan Affiliate, Paraguay, (h) an El Salvadorian Affiliate, El
Salvador; (i) a Caribbean Affiliate, the Caribbean; U) a Trinidadian and Tobagonian
Affiliate, Trinidad and Tobago; (k) a Dominican Affiliate, the Dominican Republic; and (I)
a Chilean Affiliate, Chile.
As used herein, the ""Caribbean"" shall mean and refer to Anguilla, Antigua and
Barbuda, Aruba, Barbados, Bonaire, British Virgin Islands, Curayao, Dominica,
Dominican Republic, Grenada, Guadeloupe, Haiti, Jamaica, Martinique, Montserrat,
Saba, Saint Eustatius, Saint Kitts and Nevis, Saint Lucia, Saint Maarten, Saint Vincent
and the Grenadines, Trinidad and Tobago, and Turks and Caicos."
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC. (Mexico)",Fox - Amendment #5 to 2011 VOD Content License Agreement - Mexico - Services,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM, Mexico",,"The ""Territory"" shall be, in such cases that the Licensed Service is operated by Licensee on behalf of: (a) a Mexican Affiliate, the Mexican United States; (b) an Argentinian Affiliate, Argentina; (c) a Panamanian Affiliate, Panama; (d) a Costa Rican Affiliate, Costa Rica, (e) a Guatemalan Affiliate, Guatemala, (f) a Honduran Affiliate, Honduras, (g) a Paraguayan Affiliate, Paraguay, (h) an El Salvadorian Affiliate, El Salvador; (i) a Caribbean Affiliate, the Caribbean; 0)
a Trinidadian and Tobagonian Affiliate, Trinidad and Tobago; (k) a Dominican Affiliate, the Dominican Republic; (I) a Chilean Affiliate, Chile; and (m) a Colombian Affiliate, Colombia.

As used herein, the ""Caribbean"" shall mean and refer to Anguilla, Antigua and Barbuda, Aruba,Bahamas, Bermuda, Barbados, Bonaire, British Virgin Islands, The Cayman Islands, Curagao, Dominica, Dominican Republic, Grenada, Guadeloupe, Haiti, Jamaica, Martinique, Montserrat, Saba, Saint Eustatius, Saint Kitts and Nevis, Saint Lucia, Saint Maarten, Saint Vincent and the Grenadines, Trinidad and Tobago, and Turks and Caicos. 

Unless otherwise noted herein, each instance of the term Territory shall be deemed to refer separately to each of the foregoing countries, on a country-by-country basis."
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC. (Mexico)",Fox - Extension Ltr #2 to 2011 VOD Content License Agreement - Mexico - Services,TVOD,z_VOD Content License Agreement,"Vubiquity, Inc.",Mexico,MEXICO:Mexico,
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC. (Middle East)",Fox - License Agreement - Middle East - Amend 1 - Services,TVOD,z_VOD Content License Agreement,ODM,,,
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC. (Middle East)",Fox - License Agreement - Middle East - Amend 2 - Services,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Asia, MENA",,
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC. (Middle East)",Fox - License Agreement - Middle East - Amend 3 - Services,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Asia, MENA",,
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC. (SEE)",Fox - License Agreement - SEE - Amend 1 - Services,TVOD,z_VOD Content License Agreement,ODM,"Europe, SEE",,
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC. (SEE)",Fox - License Agreement - SEE - Amend 2 - Services,TVOD,z_VOD Content License Agreement,ODM,"Europe, SEE",,
TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL INC (ODD),Fox (Europe) - 2006 PPV Content License Agreement - Services,PPV,z_VOD Content License Agreement,ODM,Europe,,"Germany, Austria & German-speaking Switzerland"
TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL INC (ODD),Fox (Europe) - 2010 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,OD Deutchland,Europe,,
TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL INC (ODD),Fox (Europe) - Amendment #1 to 2006 PPV Content License Agreement - Services,PPV,z_VOD Content License Agreement,OD Deutchland,Europe,,"Germany, Austria & German-speaking Switzerland"
TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL INC (ODD),Fox (Europe) - Amendment #1 to 2010 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,OD Deutchland,Europe,,
TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL INC (ODD),Fox (Europe) - Amendment #2 to 2006 PPV Content License Agreement - Services,PPV,z_VOD Content License Agreement,OD Deutchland,Europe,,"Germany, Austria & German-speaking Switzerland"
TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL INC (ODD),Fox (Europe) - Amendment #2 to 2010 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,OD Deutchland,Europe,,
TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL INC (ODD),Fox (Europe) - Amendment #3 to 2006 PPV Content License Agreement - Services,PPV,z_VOD Content License Agreement,OD Deutchland,Europe,,"Germany, Austria & German-speaking Switzerland"
TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL INC (ODD),Fox (Europe) - Amendment #3 to 2010 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,OD Deutchland,GAS,,"In each case, subject to rights and clearance on a title-by-title basis, the ""Territory""
means and includes: (a} Germany; (b) Austria; and (c) Switzerland. Unless the context requires
otherwise, as used herein, ""Territory"" shall be deemed to refer separately to each of the foregoing
countries."
TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL INC (ODD),Fox (Europe) - Amendment #4 to 2006 PPV Content License Agreement - Services,PPV,z_VOD Content License Agreement,OD Deutchland,Europe,,"Germany, Austria & German-speaking Switzerland"
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC.(FilmFlex)",Fox (FilmFlex) - 2010 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The United Kingdom, the Republic of Ireland, the Channel Islands
and the Isle of Man (the ""Territory"")."
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC.(FilmFlex)",Fox (FilmFlex) - Amendment #4 to  2010 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The United Kingdom, the Republic of Ireland, the Channel Islands
and the Isle of Man (the ""Territory"")."
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC.(FilmFlex)",Fox (FilmFlex) - Amendment #5 to  2010 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The United Kingdom, the Republic of Ireland, the Channel Islands
and the Isle of Man (the ""Territory"")."
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC.(FilmFlex)",Fox (FilmFlex) - Amendment #6 to  2010 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The United Kingdom, the Republic of Ireland, the Channel Islands
and the Isle of Man (the ""Territory"")."
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC.(FilmFlex)",Fox (FilmFlex) -Amendment #1 to  2010 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The United Kingdom, the Republic of Ireland, the Channel Islands
and the Isle of Man (the ""Territory"")."
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC.(FilmFlex)",Fox (FilmFlex) -Amendment #2 to  2010 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The United Kingdom, the Republic of Ireland, the Channel Islands
and the Isle of Man (the ""Territory"")."
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC.(FilmFlex)",Fox (FilmFlex) -Amendment #3 to  2010 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The United Kingdom, the Republic of Ireland, the Channel Islands
and the Isle of Man (the ""Territory"")."
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC. (S. Africa/Nigeria)",Fox (S.Africa/Nigeria) - 2014 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,"""TERRITORY"": (a) South Africa; and (b) Nigeria. Unless otherwise noted herein, the term Territory shall apply separately to each of the foregoing countries on a country-by-country basis."
"TWENTIETH CENTURY FOX TELECOMMUNICATIONS INTERNATIONAL, INC. (S. Africa/Nigeria)",Fox (S.Africa/Nigeria) - Amdt#2 to 2014 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,"Per amdt #2: Territories are South Africa, Nigeria, Ghana and Seychelles

""TERRITORY"": (a) South Africa; and (b) Nigeria. Unless otherwise noted herein, the term Territory shall apply separately to each of the foregoing countries on a country-by-country basis"
FreMantle Media (SVOD - AFRICA),FreMantle (Africa/MENA) - 2018 SVOD Content License Agreement - Services,"AVOD, SVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, MENA",,
FreMantle Media (SVOD - Israel),FreMantle (Israel) - 2017 SVOD Content License Agreement - Services,SVOD,Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,
FreMantle Media (SVOD - Israel),FreMantle (Israel) - 2018 PayTV/SVOD Content License Agreement - Services,"Linear SVOD, SVOD",Content License Agreement,Vubiquity Management Limited,SEE,"SEE:Israel (incl Jerusalem, the West Bank, Gaza)",
Front Row Filmed Entertainment LLC,Front Row - Amdt #1 to 2010 SVOD Content License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,,,
Front Row Filmed Entertainment LLC,Front Row - Amdt #2 to the 2010 SVOD Content license agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,,,
Front Row Filmed Entertainment LLC,Front Row - Amdt #4 to the 2010 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,ODM,,,
Front Row Filmed Entertainment LLC,Front Row Filmed Entertainment - 2010 Licensing Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,"Africa, MENA",,
Front Row Filmed Entertainment LLC,Front Row Filmed Entertainment LLC - Amdt#1 to Licensing Agreement - Services,"PVOD, SVOD",z_VOD Content License Agreement,Vubiquity Management Limited,MENA,,
